date,rmse,mae,bias
2012-06-01,2.2924352,1.5861198,-0.4863074
2012-06-02,2.2966719,1.6118912,0.23392774
2012-06-03,2.343698,1.6169431,0.71972895
2012-06-04,2.690013,1.8502119,1.2545545
2012-06-05,2.248508,1.5615566,0.47470817
2012-06-06,2.093895,1.5159929,-0.15069659
2012-06-07,2.2676437,1.6550469,0.3745791
2012-06-08,2.1734116,1.5346899,0.38196003
2012-06-09,2.2206159,1.5625343,-0.53277886
2012-06-10,2.4877467,1.7084174,0.2262097
2012-06-11,2.5304224,1.6920788,-0.014925778
2012-06-12,2.6176271,1.7299004,-0.32502216
2012-06-13,2.27709,1.5431068,-0.010772701
2012-06-14,2.6449392,1.781852,0.22942017
2012-06-15,2.8119967,1.9018922,0.73426265
2012-06-16,2.324153,1.5440466,-0.3712607
2012-06-17,2.2196712,1.5366975,-0.31675175
2012-06-18,2.1597006,1.449475,-0.4928596
2012-06-19,2.2969508,1.5553179,0.053354938
2012-06-20,2.480365,1.639576,-0.08284509
2012-06-21,2.6188025,1.6631789,-0.24655026
2012-06-22,2.75706,1.7289898,-0.25047857
2012-06-23,2.654879,1.7857337,0.036320344
2012-06-24,2.731893,1.9197134,0.9022159
2012-06-25,2.6593785,1.7717588,0.60106844
2012-06-26,2.7554047,1.8020171,0.4888988
2012-06-27,2.2701283,1.5291283,0.018028012
2012-06-28,2.351983,1.5635607,0.122536406
2012-06-29,2.3989472,1.6265283,-0.30974492
2012-06-30,2.4849353,1.673299,-0.26537654
2012-07-01,2.3623235,1.582453,-0.0042066164
2012-07-02,2.3160203,1.6237154,-0.2452122
2012-07-03,2.1912565,1.5295987,0.16420783
2012-07-04,2.226585,1.5582954,-0.08013116
2012-07-05,2.5337112,1.658286,0.200567
2012-07-06,2.6166925,1.6820331,-0.19071956
2012-07-07,2.8023758,1.81652,-0.41136363
2012-07-08,3.122015,2.0358205,-0.77299327
2012-07-09,3.7007244,2.5308444,-0.568101
2012-07-10,3.0608315,2.0923095,-0.0615367
2012-07-11,2.959779,2.012096,-0.89441663
2012-07-12,3.011929,2.1069114,-0.9836253
2012-07-13,2.8753157,1.9242465,-0.41368815
2012-07-14,2.9267037,1.9526262,0.17244883
2012-07-15,3.0711625,2.1294777,0.11658149
2012-07-16,2.895642,1.9275545,-0.2656174
2012-07-17,3.2386684,2.1316376,-1.0925926
2012-07-18,3.0770717,2.0812225,-0.7757601
2012-07-19,3.3951502,2.375249,-1.7819309
2012-07-20,3.423755,2.3946714,-0.8659155
2012-07-21,2.7755365,1.8951871,-0.46934715
2012-07-22,2.5730371,1.752923,-0.7401594
2012-07-23,2.5613024,1.7353575,0.13729498
2012-07-24,2.469531,1.6345692,0.015259609
2012-07-25,2.7429442,1.7769761,-0.2901281
2012-07-26,2.9510014,1.9589999,-0.24045159
2012-07-27,2.874524,1.853692,-0.47267246
2012-07-28,2.764718,1.764734,-0.8538967
2012-07-29,2.760715,1.7634587,-1.077901
2012-07-30,2.858351,1.8481741,-1.1958025
2012-07-31,2.5565853,1.6072111,-0.5634288
2012-08-01,2.5587282,1.6582007,-0.63884896
2012-08-02,2.6502182,1.6774309,-0.51251704
2012-08-03,2.699045,1.7312578,-0.6517977
2012-08-04,3.1147726,2.1241422,-0.8874226
2012-08-05,3.4190307,2.3122253,-1.2908442
2012-08-06,3.4797382,2.3191628,-1.2084851
2012-08-07,3.3773923,2.334301,-1.3933035
2012-08-08,3.1696727,2.0687141,-1.3027269
2012-08-09,2.586587,1.6609324,-0.7199234
2012-08-10,2.6009507,1.6529684,-0.71554464
2012-08-11,2.6266923,1.7091875,-0.5652007
2012-08-12,2.7068334,1.7742646,-0.7029091
2012-08-13,2.8002913,1.8868148,-1.1418308
2012-08-14,2.8713822,1.8845112,-1.1944742
2012-08-15,2.6709282,1.821405,-0.59341854
2012-08-16,2.7409222,1.8666832,-0.631366
2012-08-17,3.0964348,2.1884766,-0.9315256
2012-08-18,3.14782,2.1538494,-0.9668393
2012-08-19,3.029807,1.9555737,-1.381263
2012-08-20,2.8142214,1.8472524,-1.0831414
2012-08-21,2.5465963,1.6429752,-0.6875489
2012-08-22,2.387828,1.5269585,-0.34628767
2012-08-23,2.306113,1.5770638,-0.54061896
2012-08-24,2.3366287,1.711888,-0.35122102
2012-08-25,2.3194263,1.5701618,-0.544938
2012-08-26,2.3153052,1.5399108,-0.34973186
2012-08-27,2.3850162,1.6049204,-0.49939367
2012-08-28,2.462165,1.6574733,-0.949255
2012-08-29,2.2374177,1.5019066,-0.38887113
2012-08-30,2.1744971,1.491621,-0.66607326
