time,sand_heads_actual,sand_heads_predicted,halibut_bank_actual,halibut_bank_predicted,sentry_shoal_actual,sentry_shoal_predicted
2012-07-29 12:00:00,288.55484,286.65167,289.9576,286.5707,289.74747,282.5165
2012-07-29 15:00:00,288.74893,285.02454,289.36612,285.49515,290.0021,282.62216
2012-07-29 18:00:00,289.9178,284.6615,289.86996,285.495,290.63647,282.8495
2012-07-29 21:00:00,291.62527,284.79947,290.96152,285.6997,291.51157,282.94077
2012-07-30 00:00:00,292.64746,284.86066,291.80527,285.65768,291.90646,282.94577
2012-07-30 03:00:00,292.91064,285.66208,292.34702,285.80457,291.86197,282.66785
2012-07-30 06:00:00,291.3973,286.64404,292.18524,286.26306,291.7604,282.64124
2012-07-30 09:00:00,289.7511,286.90103,290.79013,286.6186,290.71677,283.91473
2012-07-30 12:00:00,287.94577,286.50928,289.23276,286.4692,290.49338,283.26123
2012-07-30 15:00:00,288.32034,285.20175,288.6533,285.5017,290.50305,282.3429
2012-07-30 18:00:00,289.35208,284.68283,289.50864,285.59503,290.76285,282.80692
2012-07-30 21:00:00,290.82547,284.77216,290.07462,285.59604,290.98557,283.0719
2012-07-31 00:00:00,291.4891,284.83743,291.17233,285.55148,291.70593,282.86087
2012-07-31 03:00:00,291.33398,285.698,291.72134,285.2448,291.90543,282.625
2012-07-31 06:00:00,291.4943,285.9141,291.76205,285.62732,290.692,282.9184
2012-07-31 09:00:00,289.75174,286.05548,291.3674,285.77612,289.71506,284.23547
2012-07-31 12:00:00,288.43423,286.07394,290.1758,285.7738,289.15634,283.92413
2012-07-31 15:00:00,288.0398,285.25974,289.64096,285.23114,289.22162,282.6264
2012-07-31 18:00:00,289.33307,284.61496,290.2671,285.34573,291.00146,282.86606
2012-07-31 21:00:00,290.35968,284.7252,291.38568,285.53952,292.29785,283.7286
2012-08-01 00:00:00,291.3665,284.80997,291.52353,285.46515,292.44742,283.88028
2012-08-01 03:00:00,292.1617,285.67795,291.45816,285.6068,292.8799,282.82776
2012-08-01 06:00:00,291.05026,286.5231,291.43503,285.99692,291.644,282.69778
2012-08-01 09:00:00,289.61136,286.98236,290.26724,286.39005,290.64807,282.7715
2012-08-01 12:00:00,288.63812,286.65274,289.49323,286.41153,289.96045,282.6864
2012-08-01 15:00:00,288.43597,285.3304,289.0028,285.36655,289.9339,282.47058
2012-08-01 18:00:00,289.6067,284.79858,289.48087,285.65472,291.1877,282.9172
2012-08-01 21:00:00,290.60788,284.92914,290.42975,285.5847,292.4347,282.93204
2012-08-02 00:00:00,290.77444,284.999,291.07397,285.6154,292.44418,282.78012
2012-08-02 03:00:00,291.01608,285.86206,291.73798,285.45145,291.5371,282.6216
2012-08-02 06:00:00,291.51022,285.8822,291.23172,285.38373,291.08762,282.4495
2012-08-02 09:00:00,291.01245,285.79706,290.8162,285.50806,290.35056,282.32684
2012-08-02 12:00:00,289.5897,285.86462,290.63724,285.73105,289.31665,282.2776
2012-08-02 15:00:00,289.0563,285.52307,290.43,285.3765,289.40857,282.67734
2012-08-02 18:00:00,290.2615,284.9739,291.0769,285.38354,291.37332,283.13626
2012-08-02 21:00:00,290.99716,285.01883,292.25058,285.43427,293.16385,284.40106
2012-08-03 00:00:00,291.2793,285.15326,292.751,285.54266,293.63785,284.36493
2012-08-03 03:00:00,291.60464,285.63663,292.66403,285.75494,292.6193,282.8973
2012-08-03 06:00:00,290.8511,286.2468,291.3734,286.15134,291.7031,282.77036
2012-08-03 09:00:00,290.35217,286.799,290.48502,286.6547,291.04486,282.58975
2012-08-03 12:00:00,290.3917,286.70123,290.6945,286.29916,289.811,282.52087
2012-08-03 15:00:00,290.5732,285.24887,290.8949,285.3001,290.14285,282.97034
2012-08-03 18:00:00,291.03885,285.04108,291.63504,285.20572,292.33304,284.70914
2012-08-03 21:00:00,291.74313,285.26462,292.88623,285.43768,293.05582,284.92496
2012-08-04 00:00:00,292.67767,285.3862,293.5659,285.49057,294.97244,284.8523
2012-08-04 03:00:00,293.38083,286.086,294.00967,285.67337,294.19516,284.4969
2012-08-04 06:00:00,292.6353,286.51126,293.43152,285.91614,293.00003,283.27753
2012-08-04 09:00:00,292.13345,286.2881,292.5064,285.87567,292.31784,282.92743
2012-08-04 12:00:00,291.81564,286.0278,291.93155,285.69623,291.70544,282.90375
2012-08-04 15:00:00,291.5963,285.1225,291.9855,284.99512,292.36264,284.47067
2012-08-04 18:00:00,291.79608,285.1769,292.6071,285.31094,293.23343,285.03906
2012-08-04 21:00:00,292.3351,285.31708,293.38013,285.41498,293.3884,285.1626
2012-08-05 00:00:00,292.9922,285.47363,294.3136,285.4173,295.38828,285.13306
2012-08-05 03:00:00,294.1454,285.96362,294.71072,285.4661,295.2587,284.74097
2012-08-05 06:00:00,293.91907,286.36624,294.16443,285.78055,293.952,284.49185
2012-08-05 09:00:00,292.9751,286.44077,293.36746,285.8263,293.11273,283.27216
